unitCode,unitTitle,type
BSBCMM301,Process customer complaints,Elective
BSBCUS201,Deliver a service to customers,Core
TLIA0003,Complete and check import/export documentation,Elective
TLIA2013,Receive goods,Elective
TLIA2014,Use product knowledge to complete work operations,Elective
TLIA2021,Despatch stock,Elective
TLIA2022,Participate in stocktakes,Elective
TLIB0005,Operate pooled equipment,Elective
TLIB2001,Check and assess operational capabilities of equipment,Elective
TLID1001,Shift materials safely using manual handling methods,Elective
TLIE0002,Process workplace documentation,Elective
TLIE2001,Present routine workplace information,Elective
TLIE2007,Use communications systems,Elective
TLIF0009,Ensure the safety of transport activities (Chain of Responsibility),Core
TLIF1001,Follow work health and safety procedures,Core
TLIF2010,Apply fatigue management strategies,Elective
TLIF2018,Operate firefighting equipment,Elective
TLIG2007,Work in a socially diverse environment,Core
TLIH2003,Prioritise courier/delivery operations,Elective
TLIJ2001,Apply quality procedures,Elective
TLIK2003,Apply keyboard skills,Elective
TLIK2007,Perform electronic data interchange to transmit shipping documentation,Elective
TLIK2010,Use infotechnology devices in the workplace,Elective
TLIL2008,Complete routine administrative tasks,Elective
TLIL2031,Monitor and process attendance records,Elective
TLIO0003,Follow security procedures when working with goods and cargo,Elective
TLIP2014,Capture records into a records keeping system,Elective
TLIP2017,Maintain control of records,Elective
TLIP2018,Provide information from and about records,Elective
TLIP2024,Conduct financial transactions,Elective
TLIP2029,Prepare and process financial documents,Elective
TLIP2032,Maintain petty cash account,Elective
TLIP2033,Sell products and services,Elective
TLIU2012,Participate in environmentally sustainable work practices,Elective
